# 10x10 d & ligand order for NiPS3 orbital order ($d_(3z^2-r^2)$, $d_(x z)$, $d_(y z)$, $d_(x^2-y^2)$, $d_(x y)$ for d then ligand states
0.000000000000000000e+00,1.281000000000000021e-02,1.281000000000000021e-02,0.000000000000000000e+00,-2.251000000000000223e-02,-1.655581650441921404e+00,-1.167529695232162498e-06,3.031656316669725684e-04,-2.886841556377714316e-04,-6.181316259504509962e-03
1.281000000000000021e-02,-1.957599999999999896e-01,-2.131999999999999867e-02,1.876999999999999849e-02,-2.101000000000000090e-02,-7.609705997856481934e-03,3.995239004831876994e-01,-5.508805683917782359e-01,-1.267115777228011546e-02,2.313292034015327625e-01
1.281000000000000021e-02,-2.131999999999999867e-02,-1.957599999999999896e-01,-1.876999999999999849e-02,-2.101000000000000090e-02,-7.612762776915773383e-03,-3.994635055004664426e-01,-5.508787922844998741e-01,1.266174620071538505e-02,2.314366431888018050e-01
0.000000000000000000e+00,1.876999999999999849e-02,-1.876999999999999849e-02,1.685000000000000039e-02,0.000000000000000000e+00,2.915314896371597403e-04,-6.172359846000521032e-03,2.467378653661665127e-06,-1.639621787662396413e+00,3.251816999631796929e-08
-2.251000000000000223e-02,-2.101000000000000090e-02,-2.101000000000000090e-02,0.000000000000000000e+00,-1.799099999999999866e-01,1.440676365148240226e-02,-6.212270272031101734e-05,-5.472314381699362462e-01,1.962704488570374669e-06,-4.658544040539610021e-01
-1.655581650441921404e+00,-7.609705997856481934e-03,-7.612762776915773383e-03,2.915314896371597403e-04,1.440676365148240226e-02,-2.498692971523289175e-01,5.101143275206829906e-06,-4.346224095249161083e-04,3.039564442256147906e-06,-1.328553452947509594e-01
-1.167529695232162498e-06,3.995239004831876994e-01,-3.994635055004664426e-01,-6.172359846000521032e-03,-6.212270272031101734e-05,5.101143275224399911e-06,-9.578192628718859014e-01,-3.015662139702805017e-06,-1.358055640235033279e-01,8.442644301925813515e-07
3.031656316669725684e-04,-5.508805683917782359e-01,-5.508787922844998741e-01,2.467378653661665127e-06,-5.472314381699362462e-01,-4.346224095249574164e-04,-3.015662139890673960e-06,-1.519788958262234591e+00,-1.598209791880546069e-06,-1.120656271721710145e-02
-2.886841556377714316e-04,-1.267115777228011546e-02,1.266174620071538505e-02,-1.639621787662396413e+00,1.962704488570374669e-06,3.039564442145954849e-06,-1.358055640235033279e-01,-1.598209791898010406e-06,-2.664073267811304935e-01,-5.613054011402489546e-06
-6.181316259504509962e-03,2.313292034015327625e-01,2.314366431888018050e-01,3.251816999631796929e-08,-4.658544040539610021e-01,-1.328553452947510150e-01,8.442644301800600869e-07,-1.120656271721686206e-02,-5.613054011459518581e-06,-9.477908267470446235e-01
